FaixaInicial	FaixaFinal	Quantidade
189660254	189670253	10000
189670254	189680253	10000
189680254	189690253	10000
189690254	189700253	10000
189700254	189710253	10000
189710254	189720253	10000
189720254	189730253	10000
189730254	189740253	10000
189740254	189750253	10000
189750254	189760253	10000
189760254	189770253	10000
189770254	189780253	10000
189780254	189790253	10000
189790254	189800253	10000
189800254	189810253	10000
189810254	189820253	10000
189820254	189830253	10000
189830254	189840253	10000
189840254	189850253	10000
189850254	189860253	10000
189860254	189870253	10000
189870254	189880253	10000
189880254	189890253	10000
189890254	189900253	10000
189900254	189910253	10000
189910254	189920253	10000
189920254	189930253	10000
189930254	189940253	10000
189940254	189950253	10000
189950254	189960253	10000
189960254	189970253	10000
189970254	189980253	10000
189980254	189990253	10000
189990254	190000253	10000
190000254	190010253	10000
190010254	190020253	10000
190020254	190030253	10000
190030254	190040253	10000
190040254	190050253	10000
190050254	190060253	10000
190060254	190070253	10000
190070254	190080253	10000
190080254	190090253	10000
190090254	190100253	10000
190100254	190110253	10000
190110254	190120253	10000
190120254	190130253	10000
190130254	190140253	10000
190140254	190150253	10000
190150254	190160253	10000
190160254	190170253	10000
190170254	190180253	10000
190180254	190190253	10000
190190254	190200253	10000
190200254	190210253	10000
190210254	190220253	10000
190220254	190230253	10000
190230254	190240253	10000
190240254	190250253	10000
190250254	190260253	10000
190260254	190270253	10000
190270254	190280253	10000
190280254	190290253	10000
190290254	190300253	10000
190300254	190310253	10000
190310254	190320253	10000
190320254	190330253	10000
190330254	190340253	10000
190340254	190350253	10000
190350254	190360253	10000
190360254	190370253	10000
190370254	190380253	10000
190380254	190390253	10000
190390254	190400253	10000
190400254	190410253	10000
190410254	190420253	10000
190420254	190430253	10000
190430254	190440253	10000
190440254	190450253	10000
190450254	190460253	10000
190460254	190470253	10000
190470254	190480253	10000
190480254	190490253	10000
190490254	190500253	10000
190500254	190510253	10000
190510254	190520253	10000
190520254	190530253	10000
190530254	190540253	10000
190540254	190550253	10000
190550254	190560253	10000
190560254	190570253	10000
190570254	190580253	10000
190580254	190590253	10000
190590254	190600253	10000
190600254	190610253	10000
190610254	190620253	10000
190620254	190630253	10000
190630254	190640253	10000
190640254	190650253	10000
190650254	190660253	10000
190660254	190670253	10000
190670254	190680253	10000
190680254	190690253	10000
190690254	190700253	10000
190700254	190710253	10000
190710254	190720253	10000
190720254	190730253	10000
190730254	190740253	10000
190740254	190750253	10000
190750254	190760253	10000
190760254	190770253	10000
190770254	190780253	10000
190780254	190790253	10000
190790254	190800253	10000
190800254	190810253	10000
190810254	190820253	10000
190820254	190830253	10000
190830254	190840253	10000
190840254	190850253	10000
190850254	190860253	10000
190860254	190870253	10000
190870254	190880253	10000
190880254	190890253	10000
190890254	190900253	10000
190900254	190910253	10000
190910254	190920253	10000
190920254	190930253	10000
190930254	190940253	10000
190940254	190950253	10000
190950254	190960253	10000
190960254	190970253	10000
190970254	190980253	10000
190980254	190990253	10000
190990254	191000253	10000
191000254	191010253	10000
191010254	191020253	10000
191020254	191030253	10000
191030254	191040253	10000
191040254	191050253	10000
191050254	191060253	10000
191060254	191070253	10000
191070254	191080253	10000
191080254	191090253	10000
191090254	191100253	10000
191100254	191110253	10000
191110254	191120253	10000
191120254	191130253	10000
191130254	191140253	10000
191140254	191150253	10000
191150254	191160253	10000
191160254	191170253	10000
191170254	191180253	10000
191180254	191190253	10000
191190254	191200253	10000
191200254	191210253	10000
191210254	191220253	10000
191220254	191230253	10000
191230254	191240253	10000
191240254	191250253	10000
191250254	191260253	10000
191260254	191270253	10000
191270254	191280253	10000
191280254	191290253	10000
191290254	191300253	10000
191300254	191310253	10000
191310254	191320253	10000
191320254	191330253	10000
191330254	191340253	10000
191340254	191350253	10000
191350254	191360253	10000
191360254	191370253	10000
191370254	191380253	10000
191380254	191390253	10000
191390254	191400253	10000
191400254	191410253	10000
191410254	191420253	10000
191420254	191430253	10000
191430254	191440253	10000
191440254	191450253	10000
191450254	191460253	10000
191460254	191470253	10000
191470254	191480253	10000
191480254	191490253	10000
191490254	191500253	10000
191500254	191510253	10000
191510254	191520253	10000
191520254	191530253	10000
191530254	191540253	10000
191540254	191550253	10000
191550254	191560253	10000
191560254	191570253	10000
191570254	191580253	10000
191580254	191590253	10000
191590254	191600253	10000
191600254	191610253	10000
191610254	191620253	10000
191620254	191630253	10000
191630254	191640253	10000
191640254	191650253	10000
191650254	191660253	10000
191660254	191670253	10000
191670254	191680253	10000
191680254	191690253	10000
191690254	191700253	10000
191700254	191710253	10000
191710254	191720253	10000
191720254	191730253	10000
191730254	191740253	10000
191740254	191750253	10000
191750254	191760253	10000
191760254	191770253	10000
191770254	191780253	10000
191780254	191790253	10000
191790254	191800253	10000
191800254	191810253	10000
191810254	191820253	10000
191820254	191830253	10000
191830254	191840253	10000
191840254	191850253	10000
191850254	191860253	10000
191860254	191870253	10000
191870254	191880253	10000
191880254	191890253	10000
191890254	191900253	10000
191900254	191910253	10000
191910254	191920253	10000
191920254	191930253	10000
191930254	191940253	10000
191940254	191950253	10000
191950254	191960253	10000
191960254	191970253	10000
191970254	191980253	10000
191980254	191990253	10000
191990254	192000253	10000
192000254	192010253	10000
192010254	192020253	10000
192020254	192030253	10000
192030254	192040253	10000
192040254	192050253	10000
192050254	192060253	10000
192060254	192070253	10000
192070254	192080253	10000
192080254	192090253	10000
192090254	192100253	10000
192100254	192110253	10000
192110254	192120253	10000
192120254	192130253	10000
192130254	192140253	10000
192140254	192150253	10000
192150254	192160253	10000
192160254	192170253	10000
192170254	192180253	10000
192180254	192190253	10000
192190254	192200253	10000
192200254	192210253	10000
192210254	192220253	10000
192220254	192230253	10000
192230254	192240253	10000
192240254	192250253	10000
192250254	192260253	10000
192260254	192270253	10000
192270254	192280253	10000
192280254	192290253	10000
192290254	192300253	10000
192300254	192310253	10000
192310254	192320253	10000
192320254	192330253	10000
192330254	192340253	10000
192340254	192350253	10000
192350254	192360253	10000
192360254	192370253	10000
192370254	192380253	10000
192380254	192390253	10000
192390254	192400253	10000
192400254	192410253	10000
192410254	192420253	10000
192420254	192430253	10000
